x,y
0,35
1,36.1
2,37.2
3,38.3
4,39.4
5,40.5
6,41.6
7,42.7
8,43.8
9,44.9
10,46
11,47.1
12,48.2
13,49.3
14,50.4
15,51.5
16,52.6
17,53.7
18,54.8
19,55.9
20,57
21,58.1
22,59.2
23,60.3
24,61.4
25,62.5
26,63.6
27,64.7
28,65.8
29,66.9
30,68
31,69.1
32,70.2
33,71.3
34,72.4
35,73.5
36,74.6
37,75.7
38,76.8
39,77.9
40,79
41,80.1
42,81.2
43,82.3
44,83.4
45,84.5
46,85.6
47,86.7
48,87.8
49,88.9
50,90
51,91.1
52,92.2
53,93.3
54,94.4
55,95.5
56,96.6
57,97.7
58,98.8
59,99.9
60,101
61,102.1
62,103.2
63,104.3
64,105.4
65,106.5
66,107.6
67,108.7
68,109.8
69,110.9
70,112
71,113.1
72,114.2
73,115.3
74,116.4
75,117.5
76,118.6
77,119.7
78,120.8
79,121.9
80,123
81,124.1
82,125.2
83,126.3
84,127.4
85,128.5
86,129.6
87,130.7
88,131.8
89,132.9
90,134
91,135.1
92,136.2
93,137.3
94,138.4
95,139.5
96,140.6
97,141.7
98,142.8
99,143.9
